"Email Address",E-Mailadresse
"Forgot Your Password?","Passwort vergessen?"
"Ship To:","Verschicken an:"
edit,bearbeiten
"Shipping Method:",Versandart:
Packstation,Packstation
Enabled,Aktiviert
"Method Name",Methodenname
Title,Titel
Mode,Modus
"API Password","API Passwort"
Price,Preis
"Sort Order",Sortierreihenfolge
Type,Art
"Ship to Applicable Countries","Verschicken an erlaubte Länder"
"Ship to Specific Countries","Versand zu bestimmten Ländern"
"Show Method if Not Applicable","Methode auch anzeigen, wenn sie nicht zutreffend ist"
"Displayed Error Message","Angezeigte Fehlermeldung"
"We'll send your order confirmation here.","Hierhin werden wir Ihnen Ihre Bestellbestätigung schicken."
"We were unable to find nearby locations for provided postcode.","Wir konnten keine nahen Packstationen für die angegebene Postleitzahl finden."
"Please provide postcode to find nearest packstations.","Bitte geben Sie die Postleitzahl ein, um nahe Packstationen zu finden."
"We could not preselect any packstation based on available information, please select it manually.","Wir konnten keine Packstation basierend auf verfügbaren Informationen vorauswählen, bitte wählen Sie sie manuell aus."
"Postal code","Postleitzahl"
