Live,Live
"Email Address","Indirizzo Email"
"Forgot Your Password?","Hai dimenticato la password?"
"Ship To:","Spedisci a:"
edit,modifica
"Shipping Method:","Metodo di Spedizione:"
Enabled,Abilitato
"Method Name","Nome metodo"
Title,Titolo
Mode,Modalità
"API Password","Password API"
Price,Prezzo
"Sort Order",Ordinamento
Type,Tipo
"Ship to Applicable Countries","Spedisci ai paesi applicabili"
"Ship to Specific Countries","Spedisci in paesi specifici"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"Displayed Error Message","Messaggio di errore visualizzato"
"We'll send your order confirmation here.","Ti invieremo la conferma dell'ordine qui."
